NR0004	B
NR0005	B
NR0007	B
NR0009	B
NR0011	B
NR0013	A
NR0015	A
NR0023	A
NR0027	B
NR0031	A
NR0035	B
NR0039	B
NR0042	B
NR0046	B
NR0048	B
NR0052	B
NR0060	A
NR0064	A
NR0068	A
NR0072	A
NR0076	A
NR0080	A
NR0084	A
NR0087	A
NR0091	A
NR0095	A
NR0099	A
NR0102	A
NR0104	A
NR0108	A
NR0112	A
NR0115	A
NR0119	A
NR0123	B
NR0127	B
NR0131	B
NR0139	A
NR0143	A
NR0150	A
NR0154	B
NR0158	B
NR0162	B
NR0166	B
NR0170	B
NR0174	A
NR0178	B
NR0181	A
NR0186	B
NR0187	A
NR0190	B
NR0191	A
NR0193	A
NR0196	B
NR0197	B
NR0202	B
NR0204	A
NR0206	B
NR0208	A
NR0210	B
NR0211	B
NR0214	A
NR0215	A
NR0217	A
NR0219	A
NR0223	B
NR0225	B
NR0226	B
NR0228	B
NR0229	A
NR0231	B
NR0233	A
NR0235	B
NR0238	A
NR0240	B
NR0241	B
NR0242	A
NR0244	B
NR0245	B
NR0247	B
NR0248	B
NR0250	A
NR0252	A
NR0255	A
NR0256	A
NR0260	A
NR0264	A
NR0268	A
NR0272	B
NR0273	A
NR0277	A
NR0280	B
NR0284	B
NR0288	A
NR0292	B
NR0296	A
NR0300	B
NR0304	A
NR0308	A
NR0310	A
NR0314	A
NR0318	B
NR0322	B
NR0324	A
NR0326	A
NR0330	A
NR0332	A
NR0336	A
NR0340	A
NR0344	A
NR0348	B
NR0350	B
NR0351	A
NR0355	A
NR0359	A
NR0364	B
NR0365	B
NR0371	B
NR0373	B
NR0374	B
NR0376	A
NR0380	B
NR0384	B
NR0386	B
NR0387	A
NR0391	B
NR0393	B
NR0395	B
NR0399	A
NR0401	A
NR0405	A
NR0409	A
NR0411	B
NR0415	A
NR0419	B
NR0423	B
NR0426	B
NR0432	B
NR0436	B
NR0439	B
NR0441	B
NR0447	B
NR0449	A
NR0455	A
NR0459	A
NR0463	A
NR0467	B
NR0468	A
NR0472	B
NR0473	A
NR0477	A
NR0481	A
NR0485	A
NR0489	B
NR0498	A
NR0500	B
NR0504	A
NR0508	B
NR0511	B
NR0513	B
NR0519	B
NR0521	B
NR0522	B
NR0524	B
NR0528	A
NR0532	A
NR0536	B
NR0539	A
NR0543	B
NR0544	B
NR0548	B
NR0551	B
NR0555	A
