NR0004	A
NR0005	B
NR0007	A
NR0009	A
NR0011	A
NR0013	A
NR0015	B
NR0023	B
NR0027	B
NR0031	B
NR0035	B
NR0039	B
NR0042	B
NR0046	B
NR0048	B
NR0052	B
NR0060	B
NR0064	B
NR0068	A
NR0072	B
NR0076	A
NR0080	B
NR0084	B
NR0087	A
NR0091	B
NR0095	B
NR0099	B
NR0102	B
NR0104	B
NR0108	B
NR0112	B
NR0115	B
NR0119	B
NR0123	A
NR0127	A
NR0131	A
NR0135	A
NR0139	A
NR0143	A
NR0150	B
NR0154	B
NR0158	A
NR0162	B
NR0166	B
NR0170	B
NR0174	B
NR0178	A
NR0181	B
NR0186	A
NR0187	A
NR0190	A
NR0191	B
NR0193	B
NR0196	B
NR0197	B
NR0202	A
NR0204	A
NR0206	B
NR0208	B
NR0210	B
NR0211	B
NR0214	B
NR0215	B
NR0217	B
NR0219	B
NR0223	A
NR0225	A
NR0226	A
NR0228	A
NR0229	B
NR0231	B
NR0233	B
NR0235	A
NR0238	A
NR0240	A
NR0241	A
NR0242	A
NR0244	A
NR0245	B
NR0247	A
NR0248	A
NR0250	B
NR0252	B
NR0255	B
NR0256	A
NR0260	A
NR0264	A
NR0268	B
NR0272	A
NR0273	A
NR0277	A
NR0280	A
NR0284	A
NR0288	B
NR0292	B
NR0296	B
NR0300	B
NR0304	B
NR0308	B
NR0310	B
NR0314	B
NR0318	A
NR0322	A
NR0324	B
NR0326	B
NR0330	B
NR0332	A
NR0336	A
NR0340	A
NR0344	A
NR0348	A
NR0350	A
NR0351	B
NR0355	A
NR0359	B
NR0364	A
NR0365	A
NR0371	A
NR0373	A
NR0374	A
NR0376	A
NR0380	A
NR0384	A
NR0386	A
NR0387	A
NR0391	A
NR0393	A
NR0395	B
NR0399	B
NR0401	B
NR0405	B
NR0409	B
NR0411	A
NR0415	A
NR0419	A
NR0423	A
NR0426	A
NR0428	A
NR0432	A
NR0436	A
NR0439	A
NR0441	A
NR0445	A
NR0447	B
NR0449	B
NR0455	A
NR0459	B
NR0463	B
NR0465	B
NR0467	A
NR0468	B
NR0472	A
NR0473	A
NR0477	B
NR0481	B
NR0485	B
NR0489	B
NR0498	A
NR0500	A
NR0504	A
NR0508	A
NR0511	A
NR0513	A
NR0515	A
NR0519	A
NR0521	A
NR0522	B
NR0524	B
NR0528	B
NR0532	B
NR0536	A
NR0539	B
NR0543	A
NR0544	B
NR0548	B
NR0551	B
NR0555	B
